,Unnamed: 0,m,o,iv
0,0,240,240,0.9
1,1,180,50,1.0
2,2,30,110,1.2
3,3,160,40,1.2
4,4,230,210,1.3
5,5,140,0,1.4
6,6,20,120,1.5
7,7,130,20,1.5
8,8,130,0,1.5
9,9,200,80,1.5
10,10,0,190,1.5
11,11,230,20,1.5
12,12,70,260,1.5
13,13,30,80,1.6
14,14,160,50,1.6
15,15,230,220,1.6
16,16,190,160,1.7
17,17,180,180,1.7
18,18,200,190,1.7
19,19,10,210,1.7
20,20,220,210,1.7
21,21,180,130,1.8
22,22,190,140,1.9
23,23,140,40,2.1
24,24,190,140,2.2
25,25,180,170,2.0
26,26,200,180,2.0
27,27,10,210,2.0
28,28,220,210,2.0
29,29,60,250,2.0
30,30,230,0,2.1
31,31,350,310,2.3
0,0,240,240,0.9
1,1,180,50,1.0
2,2,30,110,1.2
3,3,160,40,1.2
4,4,230,210,1.3
5,5,140,0,1.4
6,6,20,120,1.5
7,7,130,20,1.5
8,8,130,0,1.5
9,9,200,80,1.5
10,10,0,190,1.5
11,11,230,20,1.5
12,12,70,260,1.5
13,13,30,80,1.6
14,14,160,50,1.6
15,15,230,220,1.6
16,16,190,160,1.7
17,17,180,180,1.7
18,18,200,190,1.7
19,19,10,210,1.7
20,20,220,210,1.7
21,21,180,130,1.8
22,22,190,140,1.9
23,23,140,40,2.1
24,24,190,140,2.2
25,25,180,170,2.0
26,26,200,180,2.0
27,27,10,210,2.0
28,28,220,210,2.0
29,29,60,250,2.0
30,30,230,0,2.1
31,31,350,310,2.3
0,0,240,240,0.9
1,1,180,50,1.0
2,2,30,110,1.2
3,3,160,40,1.2
4,4,230,210,1.3
5,5,140,0,1.4
6,6,20,120,1.5
7,7,130,20,1.5
8,8,130,0,1.5
9,9,200,80,1.5
10,10,0,190,1.5
11,11,230,20,1.5
12,12,70,260,1.5
13,13,30,80,1.6
14,14,160,50,1.6
15,15,230,220,1.6
16,16,190,160,1.7
17,17,180,180,1.7
18,18,200,190,1.7
19,19,10,210,1.7
20,20,220,210,1.7
21,21,180,130,1.8
22,22,190,140,1.9
23,23,140,40,2.1
24,24,190,140,2.2
25,25,180,170,2.0
26,26,200,180,2.0
27,27,10,210,2.0
28,28,220,210,2.0
29,29,60,250,2.0
30,30,230,0,2.1
31,31,350,310,2.3
0,0,240,240,0.9
1,1,180,50,1.0
2,2,30,110,1.2
3,3,160,40,1.2
4,4,230,210,1.3
5,5,140,0,1.4
6,6,20,120,1.5
7,7,130,20,1.5
8,8,130,0,1.5
9,9,200,80,1.5
10,10,0,190,1.5
11,11,230,20,1.5
12,12,70,260,1.5
13,13,30,80,1.6
14,14,160,50,1.6
15,15,230,220,1.6
16,16,190,160,1.7
17,17,180,180,1.7
18,18,200,190,1.7
19,19,10,210,1.7
20,20,220,210,1.7
21,21,180,130,1.8
22,22,190,140,1.9
23,23,140,40,2.1
24,24,190,140,2.2
25,25,180,170,2.0
26,26,200,180,2.0
27,27,10,210,2.0
28,28,220,210,2.0
29,29,60,250,2.0
30,30,230,0,2.1
31,31,350,310,2.3
0,0,240,240,0.9
1,1,180,50,1.0
2,2,30,110,1.2
3,3,160,40,1.2
4,4,230,210,1.3
5,5,140,0,1.4
6,6,20,120,1.5
7,7,130,20,1.5
8,8,130,0,1.5
9,9,200,80,1.5
10,10,0,190,1.5
11,11,230,20,1.5
12,12,70,260,1.5
13,13,30,80,1.6
14,14,160,50,1.6
15,15,230,220,1.6
16,16,190,160,1.7
17,17,180,180,1.7
18,18,200,190,1.7
19,19,10,210,1.7
20,20,220,210,1.7
21,21,180,130,1.8
22,22,190,140,1.9
23,23,140,40,2.1
24,24,190,140,2.2
25,25,180,170,2.0
26,26,200,180,2.0
27,27,10,210,2.0
28,28,220,210,2.0
29,29,60,250,2.0
30,30,230,0,2.1
31,31,350,310,2.3
