,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'0.9i'}),frozenset({'240m'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
1,frozenset({'240m'}),frozenset({'0.9i'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
2,frozenset({'0.9i'}),frozenset({'240o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
3,frozenset({'240o'}),frozenset({'0.9i'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
4,frozenset({'1.0i'}),frozenset({'150o'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
5,frozenset({'1.0i'}),frozenset({'180m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
6,frozenset({'110o'}),frozenset({'1.2i'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
7,frozenset({'1.3i'}),frozenset({'210o'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
8,frozenset({'1.3i'}),frozenset({'230m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
9,frozenset({'100o'}),frozenset({'1.4i'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
10,frozenset({'1.4i'}),frozenset({'100o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
11,frozenset({'1.4i'}),frozenset({'140m'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
12,frozenset({'120m'}),frozenset({'1.5i'}),0.030303030303030304,0.24242424242424243,0.030303030303030304,1.0,4.125,0.02295684113865932,inf
13,frozenset({'120o'}),frozenset({'1.5i'}),0.06060606060606061,0.24242424242424243,0.06060606060606061,1.0,4.125,0.04591368227731864,inf
14,frozenset({'260o'}),frozenset({'1.5i'}),0.030303030303030304,0.24242424242424243,0.030303030303030304,1.0,4.125,0.02295684113865932,inf
15,frozenset({'270m'}),frozenset({'1.5i'}),0.030303030303030304,0.24242424242424243,0.030303030303030304,1.0,4.125,0.02295684113865932,inf
16,frozenset({'90o'}),frozenset({'1.5i'}),0.030303030303030304,0.24242424242424243,0.030303030303030304,1.0,4.125,0.02295684113865932,inf
17,frozenset({'80o'}),frozenset({'1.6i'}),0.030303030303030304,0.09090909090909091,0.030303030303030304,1.0,11.0,0.027548209366391185,inf
18,frozenset({'160o'}),frozenset({'1.7i'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
19,frozenset({'1.8i'}),frozenset({'130o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
20,frozenset({'130o'}),frozenset({'1.8i'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
21,frozenset({'1.8i'}),frozenset({'180m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
22,frozenset({'1.9i'}),frozenset({'140o'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
